    y (mm)  Voltage (V)
0      0.3     0.656674
1      0.4     0.722679
2      0.5     0.750669
3      0.6     0.800098
4      0.7     0.826332
5      0.8     0.839913
6      0.9     0.869523
7      1.0     0.907566
8      1.1     0.922855
9      1.2     0.973932
10     1.3     0.976698
11     1.4     0.986480
12     1.5     1.032091
13     1.6     1.042988
14     1.7     1.061829
15     1.8     1.082163
16     1.9     1.089127
17     2.0     1.092663
18     2.1     1.131312
19     2.2     1.150757
20     2.3     1.146000
21     2.4     1.175822
22     2.5     1.161553
23     2.6     1.200965
24     2.7     1.208426
25     2.8     1.202276
26     2.9     1.211891
27     3.0     1.246948
28     3.1     1.234776
29     3.2     1.251407
30     3.3     1.279436
31     3.4     1.249873
32     3.5     1.283232
33     3.6     1.313245
34     3.7     1.305629
35     3.8     1.306350
36     3.9     1.330505
37     4.0     1.317120
38     4.1     1.321744
39     4.2     1.347154
40     4.3     1.374345
41     4.4     1.346132
42     4.5     1.361087
43     4.6     1.371282
44     4.7     1.394831
45     4.8     1.387861
46     4.9     1.391118
47     5.0     1.399823
48     5.1     1.409457
49     5.2     1.426823
50     5.3     1.451818
51     5.4     1.451102
52     5.5     1.439234
53     5.6     1.462581
54     5.7     1.459346
55     5.8     1.471396
56     5.9     1.475498
57     6.0     1.476295
58     6.1     1.491058
59     6.2     1.497382
60     6.3     1.512842
61     6.4     1.509878
62     6.5     1.521788
63     6.6     1.531052
64     6.7     1.532646
65     6.8     1.544489
66     6.9     1.550206
67     7.0     1.552442
68     7.1     1.551554
69     7.2     1.556067
70     7.3     1.555685
71     7.4     1.555182
72     7.5     1.555137
73     7.6     1.555220
74     7.7     1.547948
75     7.8     1.546118
76     7.9     1.556821
77     8.0     1.552588
